date,transaction_id,product,category,quantity,unit_price,base_cost,discount,revenue,cost,profit
2026-01-01,TRX000019,Air Mineral,Beverage,1,5000,3000.0,0.0,5000.0,2967.44,2032.56
2026-01-01,TRX000020,Ayam Geprek,Food,1,22000,12000.0,0.0,22000.0,11823.69,10176.31
2026-01-01,TRX000020,Nasi Goreng,Food,2,25000,13000.0,0.0,50000.0,26708.71,23291.29
2026-01-01,TRX000021,Ayam Geprek,Food,1,22000,12000.0,0.0,22000.0,12011.19,9988.81
2026-01-01,TRX000022,Kopi Susu,Beverage,1,15000,7000.0,0.0,15000.0,7058.5,7941.5
2026-01-01,TRX000023,Ayam Bakar,Food,2,27000,15000.0,0.0,54000.0,30012.59,23987.41
2026-01-01,TRX000024,Mie Goreng,Food,1,23000,12000.0,0.0,23000.0,12121.17,10878.83
2026-01-01,TRX000025,Tahu Crispy,Snack,4,12000,5500.0,0.0,48000.0,22280.48,25719.52
2026-01-01,TRX000025,Kopi Susu,Beverage,2,15000,7000.0,0.0,30000.0,13186.47,16813.53
2026-01-01,TRX000025,Ayam Bakar,Food,2,27000,15000.0,0.0,54000.0,30599.92,23400.08
2026-01-01,TRX000026,Ayam Bakar,Food,1,27000,15000.0,0.0,27000.0,14558.09,12441.91
2026-01-01,TRX000027,Mie Ayam,Food,1,20000,10000.0,0.0,20000.0,9567.31,10432.69
2026-01-01,TRX000027,Ayam Geprek,Food,1,22000,12000.0,1100.0,20900.0,11978.97,8921.03
2026-01-01,TRX000027,Ayam Bakar,Food,3,27000,15000.0,0.0,81000.0,45113.37,35886.63
2026-01-01,TRX000028,Kopi Susu,Beverage,2,15000,7000.0,0.0,30000.0,13708.73,16291.27
2026-01-01,TRX000028,Mie Ayam,Food,1,20000,10000.0,0.0,20000.0,10249.31,9750.69
2026-01-01,TRX000029,Nasi Goreng,Food,1,25000,13000.0,0.0,25000.0,12476.55,12523.45
2026-01-01,TRX000030,Es Teh,Beverage,1,6000,2000.0,0.0,6000.0,1975.58,4024.42
2026-01-01,TRX000031,Mie Goreng,Food,1,23000,12000.0,0.0,23000.0,11789.45,11210.55
2026-01-01,TRX000032,Pisang Goreng,Snack,1,12000,5000.0,0.0,12000.0,4993.01,7006.99
2026-01-01,TRX000033,Es Teh,Beverage,1,6000,2000.0,0.0,6000.0,2016.73,3983.27
2026-01-01,TRX000034,Es Teh,Beverage,1,6000,2000.0,0.0,6000.0,1939.53,4060.47
2026-01-01,TRX000034,Air Mineral,Beverage,1,5000,3000.0,0.0,5000.0,3065.19,1934.81
2026-01-01,TRX000034,Nasi Goreng,Food,3,25000,13000.0,0.0,75000.0,39073.71,35926.29
2026-01-01,TRX000035,Es Teh,Beverage,1,6000,2000.0,0.0,6000.0,1886.48,4113.52
2026-01-01,TRX000036,Es Teh,Beverage,1,6000,2000.0,0.0,6000.0,1882.48,4117.52
2026-01-01,TRX000037,Air Mineral,Beverage,3,5000,3000.0,0.0,15000.0,8996.67,6003.33
2026-01-01,TRX000038,Es Teh,Beverage,1,6000,2000.0,0.0,6000.0,1986.74,4013.26
2026-01-01,TRX000039,Ayam Bakar,Food,2,27000,15000.0,0.0,54000.0,29906.92,24093.08
2026-01-01,TRX000039,Es Jeruk,Beverage,2,8000,3000.0,800.0,15200.0,5994.96,9205.04
2026-01-01,TRX000040,Tahu Crispy,Snack,1,12000,5500.0,0.0,12000.0,5537.22,6462.78
2026-01-01,TRX000041,Es Teh,Beverage,1,6000,2000.0,300.0,5700.0,2056.86,3643.14
2026-01-01,TRX000042,Air Mineral,Beverage,4,5000,3000.0,0.0,20000.0,11600.0,8400.0
2026-01-01,TRX000042,Ayam Bakar,Food,1,27000,15000.0,0.0,27000.0,14472.61,12527.39
2026-01-01,TRX000043,Ayam Geprek,Food,3,22000,12000.0,0.0,66000.0,34819.21,31180.79
2026-01-01,TRX000044,Nasi Goreng,Food,1,25000,13000.0,0.0,25000.0,13112.68,11887.32
2026-01-01,TRX000045,Tahu Crispy,Snack,2,12000,5500.0,0.0,24000.0,11410.83,12589.17
2026-01-01,TRX000045,Kopi Hitam,Beverage,2,10000,4000.0,0.0,20000.0,7896.48,12103.52
2026-01-01,TRX000045,Es Teh,Beverage,1,6000,2000.0,0.0,6000.0,1849.9,4150.1
2026-01-01,TRX000045,Ayam Bakar,Food,1,27000,15000.0,0.0,27000.0,14233.2,12766.8
2026-01-01,TRX000046,Ayam Bakar,Food,1,27000,15000.0,0.0,27000.0,14625.13,12374.87
2026-01-01,TRX000046,Pisang Goreng,Snack,1,12000,5000.0,0.0,12000.0,4916.34,7083.66
2026-01-01,TRX000047,Mie Goreng,Food,1,23000,12000.0,0.0,23000.0,11852.98,11147.02
2026-01-01,TRX000047,Ayam Geprek,Food,3,22000,12000.0,0.0,66000.0,36041.67,29958.33
2026-01-01,TRX000048,Ayam Bakar,Food,2,27000,15000.0,0.0,54000.0,29719.43,24280.57
2026-01-01,TRX000049,Es Teh,Beverage,1,6000,2000.0,0.0,6000.0,2062.96,3937.04
2026-01-01,TRX000049,Mie Goreng,Food,1,23000,12000.0,0.0,23000.0,11756.63,11243.37
2026-01-01,TRX000049,Nasi Goreng,Food,2,25000,13000.0,0.0,50000.0,25327.39,24672.61
2026-01-01,TRX000050,Es Teh,Beverage,2,6000,2000.0,0.0,12000.0,4057.47,7942.53
2026-01-01,TRX000051,Ayam Geprek,Food,2,22000,12000.0,0.0,44000.0,22894.34,21105.66
2026-01-01,TRX000052,Kopi Susu,Beverage,1,15000,7000.0,0.0,15000.0,7081.84,7918.16
2026-01-01,TRX000052,Mie Goreng,Food,3,23000,12000.0,0.0,69000.0,36110.76,32889.24
2026-01-01,TRX000053,Ayam Bakar,Food,1,27000,15000.0,0.0,27000.0,14933.65,12066.35
2026-01-01,TRX000054,Pisang Goreng,Snack,3,12000,5000.0,0.0,36000.0,15714.72,20285.28
2026-01-01,TRX000054,Ayam Bakar,Food,1,27000,15000.0,0.0,27000.0,14720.01,12279.99
2026-01-01,TRX000055,Es Jeruk,Beverage,1,8000,3000.0,0.0,8000.0,3185.43,4814.57
2026-01-01,TRX000056,Mie Ayam,Food,4,20000,10000.0,0.0,80000.0,39729.48,40270.52
2026-01-01,TRX000057,Pisang Goreng,Snack,2,12000,5000.0,0.0,24000.0,9616.9,14383.1
2026-01-01,TRX000058,Air Mineral,Beverage,1,5000,3000.0,0.0,5000.0,3006.29,1993.71
2026-01-01,TRX000059,Air Mineral,Beverage,2,5000,3000.0,0.0,10000.0,5806.28,4193.72
2026-01-01,TRX000060,Es Teh,Beverage,2,6000,2000.0,0.0,12000.0,3909.79,8090.21
2026-01-01,TRX000061,Es Jeruk,Beverage,1,8000,3000.0,0.0,8000.0,3035.73,4964.27
2026-01-01,TRX000061,Mie Ayam,Food,1,20000,10000.0,0.0,20000.0,10166.67,9833.33
2026-01-01,TRX000062,Kentang Goreng,Snack,1,15000,7000.0,0.0,15000.0,6869.34,8130.66
2026-01-01,TRX000062,Mie Ayam,Food,1,20000,10000.0,0.0,20000.0,10296.22,9703.78
2026-01-01,TRX000063,Air Mineral,Beverage,1,5000,3000.0,0.0,5000.0,3104.18,1895.82
2026-01-01,TRX000063,Mie Goreng,Food,1,23000,12000.0,0.0,23000.0,12517.07,10482.93
2026-01-01,TRX000064,Air Mineral,Beverage,1,5000,3000.0,0.0,5000.0,3047.65,1952.35
2026-01-01,TRX000065,Tahu Crispy,Snack,1,12000,5500.0,0.0,12000.0,5724.97,6275.03
2026-01-01,TRX000066,Mie Goreng,Food,1,23000,12000.0,0.0,23000.0,11322.91,11677.09
2026-01-01,TRX000067,Nasi Goreng,Food,1,25000,13000.0,0.0,25000.0,12876.02,12123.98
2026-01-01,TRX000068,Es Teh,Beverage,2,6000,2000.0,600.0,11400.0,3895.96,7504.04
2026-01-01,TRX000069,Ayam Bakar,Food,1,27000,15000.0,0.0,27000.0,15053.65,11946.35
2026-01-01,TRX000070,Kentang Goreng,Snack,1,15000,7000.0,0.0,15000.0,6880.0,8120.0
2026-01-01,TRX000070,Nasi Goreng,Food,1,25000,13000.0,1250.0,23750.0,12935.2,10814.8
2026-01-01,TRX000071,Es Teh,Beverage,1,6000,2000.0,0.0,6000.0,2112.93,3887.07
2026-01-01,TRX000072,Nasi Ayam,Food,1,24000,13000.0,1200.0,22800.0,12933.81,9866.19
2026-01-01,TRX000073,Air Mineral,Beverage,1,5000,3000.0,0.0,5000.0,3037.24,1962.76
2026-01-01,TRX000074,Mie Goreng,Food,4,23000,12000.0,0.0,92000.0,47665.53,44334.47
2026-01-01,TRX000074,Kentang Goreng,Snack,2,15000,7000.0,0.0,30000.0,14031.8,15968.2
2026-01-01,TRX000074,Tahu Crispy,Snack,2,12000,5500.0,1200.0,22800.0,11001.99,11798.01
2026-01-01,TRX000075,Kopi Hitam,Beverage,1,10000,4000.0,0.0,10000.0,4053.8,5946.2
2026-01-01,TRX000076,Es Teh,Beverage,3,6000,2000.0,0.0,18000.0,6209.76,11790.24
2026-01-01,TRX000077,Nasi Ayam,Food,2,24000,13000.0,2400.0,45600.0,27284.97,18315.03
2026-01-01,TRX000078,Mie Goreng,Food,1,23000,12000.0,0.0,23000.0,12111.46,10888.54
2026-01-01,TRX000079,Ayam Geprek,Food,1,22000,12000.0,0.0,22000.0,12212.24,9787.76
2026-01-01,TRX000080,Nasi Ayam,Food,1,24000,13000.0,0.0,24000.0,12551.16,11448.84
2026-01-01,TRX000081,Ayam Bakar,Food,3,27000,15000.0,0.0,81000.0,44881.37,36118.63
2026-01-01,TRX000081,Pisang Goreng,Snack,1,12000,5000.0,0.0,12000.0,5141.04,6858.96
2026-01-01,TRX000082,Es Teh,Beverage,2,6000,2000.0,600.0,11400.0,4103.92,7296.08
2026-01-01,TRX000083,Air Mineral,Beverage,2,5000,3000.0,0.0,10000.0,6038.09,3961.91
2026-01-01,TRX000083,Es Teh,Beverage,1,6000,2000.0,0.0,6000.0,2053.18,3946.82
2026-01-01,TRX000084,Ayam Geprek,Food,3,22000,12000.0,3300.0,62700.0,36530.03,26169.97
2026-01-01,TRX000084,Kopi Susu,Beverage,1,15000,7000.0,0.0,15000.0,7252.06,7747.94
2026-01-01,TRX000085,Mie Goreng,Food,2,23000,12000.0,0.0,46000.0,24208.34,21791.66
2026-01-01,TRX000086,Pisang Goreng,Snack,1,12000,5000.0,0.0,12000.0,4946.65,7053.35
2026-01-01,TRX000087,Air Mineral,Beverage,3,5000,3000.0,0.0,15000.0,9090.68,5909.32
2026-01-01,TRX000087,Es Teh,Beverage,1,6000,2000.0,0.0,6000.0,1824.16,4175.84
2026-01-01,TRX000087,Kopi Hitam,Beverage,1,10000,4000.0,0.0,10000.0,4045.95,5954.05
2026-01-01,TRX000088,Es Jeruk,Beverage,1,8000,3000.0,0.0,8000.0,2671.64,5328.36
2026-01-01,TRX000089,Es Teh,Beverage,1,6000,2000.0,0.0,6000.0,1896.59,4103.41
2026-01-01,TRX000090,Kopi Hitam,Beverage,2,10000,4000.0,0.0,20000.0,8108.42,11891.58
2026-01-01,TRX000091,Es Teh,Beverage,3,6000,2000.0,0.0,18000.0,6085.96,11914.04
2026-01-01,TRX000092,Mie Goreng,Food,1,23000,12000.0,0.0,23000.0,11581.53,11418.47
2026-01-01,TRX000093,Mie Ayam,Food,2,20000,10000.0,0.0,40000.0,19572.74,20427.26
2026-01-01,TRX000093,Kopi Hitam,Beverage,1,10000,4000.0,0.0,10000.0,4164.46,5835.54
2026-01-01,TRX000094,Kopi Hitam,Beverage,1,10000,4000.0,0.0,10000.0,3941.92,6058.08
2026-01-01,TRX000094,Ayam Bakar,Food,1,27000,15000.0,1350.0,25650.0,16009.31,9640.69
2026-01-01,TRX000095,Mie Goreng,Food,3,23000,12000.0,0.0,69000.0,35997.93,33002.07
2026-01-01,TRX000096,Nasi Ayam,Food,2,24000,13000.0,0.0,48000.0,26318.27,21681.73
2026-01-01,TRX000097,Pisang Goreng,Snack,2,12000,5000.0,0.0,24000.0,10485.06,13514.94
2026-01-01,TRX000098,Nasi Ayam,Food,4,24000,13000.0,4800.0,91200.0,52204.4,38995.6
2026-01-01,TRX000099,Pisang Goreng,Snack,3,12000,5000.0,0.0,36000.0,14548.95,21451.05
2026-01-01,TRX000099,Mie Goreng,Food,2,23000,12000.0,0.0,46000.0,23921.0,22079.0
2026-01-01,TRX000100,Es Teh,Beverage,2,6000,2000.0,600.0,11400.0,3995.73,7404.27
2026-01-01,TRX000101,Mie Ayam,Food,2,20000,10000.0,0.0,40000.0,19181.16,20818.84
2026-01-01,TRX000102,Mie Ayam,Food,1,20000,10000.0,1000.0,19000.0,9923.25,9076.75
2026-01-01,TRX000103,Tahu Crispy,Snack,2,12000,5500.0,0.0,24000.0,10755.08,13244.92
2026-01-01,TRX000104,Puding Coklat,Dessert,3,10000,5000.0,0.0,30000.0,15415.96,14584.04
2026-01-01,TRX000105,Air Mineral,Beverage,1,5000,3000.0,0.0,5000.0,3003.12,1996.88
2026-01-01,TRX000106,Es Jeruk,Beverage,1,8000,3000.0,0.0,8000.0,2974.55,5025.45
2026-01-01,TRX000106,Mie Goreng,Food,1,23000,12000.0,0.0,23000.0,11961.77,11038.23
2026-01-01,TRX000106,Tahu Crispy,Snack,2,12000,5500.0,0.0,24000.0,11073.63,12926.37
2026-01-01,TRX000106,Nasi Goreng,Food,1,25000,13000.0,1250.0,23750.0,13240.56,10509.44
2026-01-01,TRX000107,Es Jeruk,Beverage,2,8000,3000.0,0.0,16000.0,5820.05,10179.95
2026-01-01,TRX000107,Nasi Goreng,Food,2,25000,13000.0,0.0,50000.0,25187.56,24812.44
2026-01-01,TRX000107,Mie Goreng,Food,1,23000,12000.0,0.0,23000.0,12397.68,10602.32
2026-01-01,TRX000108,Nasi Goreng,Food,3,25000,13000.0,0.0,75000.0,38517.57,36482.43
2026-01-01,TRX000108,Air Mineral,Beverage,2,5000,3000.0,0.0,10000.0,5744.97,4255.03
2026-01-01,TRX000109,Air Mineral,Beverage,1,5000,3000.0,0.0,5000.0,3039.94,1960.06
2026-01-01,TRX000109,Nasi Goreng,Food,1,25000,13000.0,0.0,25000.0,13180.71,11819.29
2026-01-01,TRX000110,Kopi Susu,Beverage,2,15000,7000.0,0.0,30000.0,13357.1,16642.9
2026-01-01,TRX000111,Mie Goreng,Food,1,23000,12000.0,0.0,23000.0,12082.61,10917.39
2026-01-01,TRX000111,Kopi Susu,Beverage,1,15000,7000.0,0.0,15000.0,7154.47,7845.53
2026-01-01,TRX000112,Puding Coklat,Dessert,1,10000,5000.0,0.0,10000.0,5056.16,4943.84
2026-01-01,TRX000112,Es Jeruk,Beverage,2,8000,3000.0,0.0,16000.0,6113.76,9886.24
2026-01-01,TRX000113,Tahu Crispy,Snack,2,12000,5500.0,0.0,24000.0,10536.59,13463.41
2026-01-01,TRX000114,Mie Goreng,Food,1,23000,12000.0,0.0,23000.0,12119.17,10880.83
2026-01-01,TRX000115,Mie Ayam,Food,1,20000,10000.0,0.0,20000.0,9909.21,10090.79
2026-01-01,TRX000115,Air Mineral,Beverage,3,5000,3000.0,0.0,15000.0,8869.65,6130.35
2026-01-01,TRX000115,Es Jeruk,Beverage,1,8000,3000.0,0.0,8000.0,3078.35,4921.65
2026-01-01,TRX000115,Es Teh,Beverage,1,6000,2000.0,0.0,6000.0,2088.76,3911.24
2026-01-01,TRX000116,Es Jeruk,Beverage,1,8000,3000.0,400.0,7600.0,3161.49,4438.51
2026-01-01,TRX000116,Pisang Goreng,Snack,1,12000,5000.0,600.0,11400.0,5197.22,6202.78
2026-01-01,TRX000117,Es Teh,Beverage,1,6000,2000.0,0.0,6000.0,1993.42,4006.58
2026-01-01,TRX000118,Ayam Bakar,Food,1,27000,15000.0,1350.0,25650.0,15158.72,10491.28
2026-01-01,TRX000119,Es Jeruk,Beverage,2,8000,3000.0,0.0,16000.0,6138.03,9861.97
2026-01-01,TRX000120,Mie Ayam,Food,1,20000,10000.0,0.0,20000.0,10036.35,9963.65
2026-01-01,TRX000121,Ayam Bakar,Food,1,27000,15000.0,0.0,27000.0,15058.84,11941.16
2026-01-01,TRX000122,Es Teh,Beverage,1,6000,2000.0,0.0,6000.0,2049.43,3950.57
2026-01-01,TRX000123,Es Teh,Beverage,2,6000,2000.0,0.0,12000.0,3992.89,8007.11
2026-01-01,TRX000124,Es Jeruk,Beverage,1,8000,3000.0,0.0,8000.0,2934.36,5065.64
2026-01-01,TRX000125,Es Teh,Beverage,2,6000,2000.0,0.0,12000.0,3950.26,8049.74
2026-01-01,TRX000125,Mie Ayam,Food,1,20000,10000.0,0.0,20000.0,10190.17,9809.83
2026-01-01,TRX000126,Kopi Susu,Beverage,3,15000,7000.0,0.0,45000.0,21001.89,23998.11
2026-01-01,TRX000127,Es Teh,Beverage,2,6000,2000.0,0.0,12000.0,4040.83,7959.17
2026-01-01,TRX000127,Air Mineral,Beverage,1,5000,3000.0,0.0,5000.0,3060.31,1939.69
2026-01-01,TRX000127,Ayam Geprek,Food,1,22000,12000.0,0.0,22000.0,11865.06,10134.94
2026-01-01,TRX000128,Air Mineral,Beverage,1,5000,3000.0,0.0,5000.0,3068.06,1931.94
2026-01-01,TRX000129,Nasi Ayam,Food,1,24000,13000.0,1200.0,22800.0,13147.75,9652.25
2026-01-01,TRX000130,Kopi Susu,Beverage,1,15000,7000.0,750.0,14250.0,6740.69,7509.31
2026-01-01,TRX000131,Kentang Goreng,Snack,1,15000,7000.0,0.0,15000.0,7302.88,7697.12
2026-01-01,TRX000131,Nasi Ayam,Food,2,24000,13000.0,0.0,48000.0,25609.42,22390.58
2026-01-01,TRX000132,Nasi Ayam,Food,4,24000,13000.0,0.0,96000.0,49418.05,46581.95
2026-01-01,TRX000133,Kopi Hitam,Beverage,2,10000,4000.0,0.0,20000.0,7749.19,12250.81
2026-01-01,TRX000133,Ayam Bakar,Food,1,27000,15000.0,0.0,27000.0,14540.53,12459.47
2026-01-01,TRX000133,Kopi Susu,Beverage,1,15000,7000.0,0.0,15000.0,7010.96,7989.04
2026-01-01,TRX000133,Nasi Ayam,Food,1,24000,13000.0,0.0,24000.0,12893.2,11106.8
2026-01-01,TRX000134,Ayam Geprek,Food,2,22000,12000.0,0.0,44000.0,23757.48,20242.52
2026-01-01,TRX000135,Es Teh,Beverage,1,6000,2000.0,300.0,5700.0,2037.18,3662.82
2026-01-01,TRX000135,Air Mineral,Beverage,1,5000,3000.0,0.0,5000.0,3030.59,1969.41
2026-01-01,TRX000135,Puding Coklat,Dessert,1,10000,5000.0,0.0,10000.0,5047.41,4952.59
2026-01-01,TRX000135,Mie Goreng,Food,2,23000,12000.0,0.0,46000.0,24295.08,21704.92
2026-01-01,TRX000136,Mie Ayam,Food,1,20000,10000.0,0.0,20000.0,10184.84,9815.16
2026-01-01,TRX000137,Tahu Crispy,Snack,1,12000,5500.0,600.0,11400.0,5152.19,6247.81
2026-01-01,TRX000138,Ayam Bakar,Food,1,27000,15000.0,0.0,27000.0,14836.0,12164.0
2026-01-01,TRX000139,Es Teh,Beverage,1,6000,2000.0,0.0,6000.0,1869.19,4130.81
2026-01-01,TRX000140,Kentang Goreng,Snack,2,15000,7000.0,0.0,30000.0,14015.15,15984.85
2026-01-01,TRX000141,Es Jeruk,Beverage,2,8000,3000.0,0.0,16000.0,5999.17,10000.83
2026-01-01,TRX000142,Nasi Ayam,Food,1,24000,13000.0,0.0,24000.0,13407.76,10592.24
2026-01-01,TRX000143,Kentang Goreng,Snack,1,15000,7000.0,0.0,15000.0,7249.4,7750.6
2026-01-01,TRX000144,Kentang Goreng,Snack,3,15000,7000.0,0.0,45000.0,21127.75,23872.25
2026-01-01,TRX000144,Es Teh,Beverage,1,6000,2000.0,0.0,6000.0,1969.98,4030.02
2026-01-01,TRX000145,Nasi Ayam,Food,1,24000,13000.0,0.0,24000.0,13189.21,10810.79
2026-01-01,TRX000145,Es Teh,Beverage,1,6000,2000.0,0.0,6000.0,1968.32,4031.68
2026-01-01,TRX000146,Tahu Crispy,Snack,2,12000,5500.0,0.0,24000.0,10999.54,13000.46
2026-01-01,TRX000147,Nasi Ayam,Food,1,24000,13000.0,0.0,24000.0,13384.59,10615.41
2026-01-01,TRX000148,Pisang Goreng,Snack,1,12000,5000.0,0.0,12000.0,4916.33,7083.67
2026-01-01,TRX000149,Es Teh,Beverage,1,6000,2000.0,0.0,6000.0,2048.34,3951.66
2026-01-01,TRX000150,Kopi Susu,Beverage,2,15000,7000.0,1500.0,28500.0,14284.51,14215.49
2026-01-01,TRX000151,Es Jeruk,Beverage,2,8000,3000.0,0.0,16000.0,5828.14,10171.86
2026-01-01,TRX000151,Es Teh,Beverage,4,6000,2000.0,0.0,24000.0,8233.73,15766.27
2026-01-01,TRX000151,Kopi Hitam,Beverage,2,10000,4000.0,0.0,20000.0,8167.66,11832.34
2026-01-01,TRX000151,Tahu Crispy,Snack,3,12000,5500.0,1800.0,34200.0,16550.45,17649.55
2026-01-01,TRX000152,Kopi Susu,Beverage,1,15000,7000.0,0.0,15000.0,6839.91,8160.09
2026-01-01,TRX000153,Es Jeruk,Beverage,4,8000,3000.0,0.0,32000.0,11690.69,20309.31
2026-01-01,TRX000154,Ayam Bakar,Food,1,27000,15000.0,0.0,27000.0,14758.05,12241.95
2026-01-01,TRX000154,Kopi Susu,Beverage,1,15000,7000.0,0.0,15000.0,7113.94,7886.06
2026-01-01,TRX000154,Kopi Hitam,Beverage,2,10000,4000.0,0.0,20000.0,7770.65,12229.35
2026-01-01,TRX000154,Nasi Ayam,Food,1,24000,13000.0,0.0,24000.0,13170.63,10829.37
2026-01-02,TRX000155,Kopi Hitam,Beverage,1,10000,4000.0,0.0,10000.0,4065.14,5934.86
2026-01-02,TRX000155,Es Teh,Beverage,1,6000,2000.0,300.0,5700.0,2061.47,3638.53
2026-01-02,TRX000156,Ayam Bakar,Food,1,27000,15000.0,0.0,27000.0,14647.57,12352.43
2026-01-02,TRX000157,Mie Ayam,Food,1,20000,10000.0,0.0,20000.0,9658.92,10341.08
2026-01-02,TRX000158,Kentang Goreng,Snack,1,15000,7000.0,0.0,15000.0,6547.24,8452.76
2026-01-02,TRX000158,Ayam Geprek,Food,1,22000,12000.0,0.0,22000.0,11904.09,10095.91
2026-01-02,TRX000159,Air Mineral,Beverage,2,5000,3000.0,0.0,10000.0,5895.31,4104.69
2026-01-02,TRX000159,Mie Goreng,Food,1,23000,12000.0,0.0,23000.0,11441.63,11558.37
2026-01-02,TRX000160,Puding Coklat,Dessert,1,10000,5000.0,0.0,10000.0,5067.95,4932.05
2026-01-02,TRX000161,Mie Ayam,Food,2,20000,10000.0,0.0,40000.0,19730.02,20269.98
2026-01-02,TRX000162,Puding Coklat,Dessert,2,10000,5000.0,0.0,20000.0,9677.28,10322.72
2026-01-02,TRX000162,Nasi Goreng,Food,1,25000,13000.0,0.0,25000.0,12783.72,12216.28
2026-01-02,TRX000162,Mie Goreng,Food,3,23000,12000.0,0.0,69000.0,37157.01,31842.99
2026-01-02,TRX000163,Mie Goreng,Food,1,23000,12000.0,0.0,23000.0,12217.06,10782.94
2026-01-02,TRX000163,Air Mineral,Beverage,1,5000,3000.0,0.0,5000.0,2988.3,2011.7
2026-01-02,TRX000164,Es Teh,Beverage,2,6000,2000.0,600.0,11400.0,4074.29,7325.71
2026-01-02,TRX000165,Puding Coklat,Dessert,1,10000,5000.0,0.0,10000.0,4825.86,5174.14
2026-01-02,TRX000165,Es Teh,Beverage,2,6000,2000.0,0.0,12000.0,4003.88,7996.12
2026-01-02,TRX000166,Ayam Bakar,Food,2,27000,15000.0,0.0,54000.0,30132.59,23867.41
2026-01-02,TRX000166,Mie Ayam,Food,1,20000,10000.0,0.0,20000.0,9859.05,10140.95
2026-01-02,TRX000166,Nasi Goreng,Food,2,25000,13000.0,2500.0,47500.0,26339.66,21160.34
2026-01-02,TRX000167,Air Mineral,Beverage,1,5000,3000.0,0.0,5000.0,2929.76,2070.24
2026-01-02,TRX000167,Mie Ayam,Food,2,20000,10000.0,0.0,40000.0,20305.89,19694.11
2026-01-02,TRX000168,Es Teh,Beverage,1,6000,2000.0,300.0,5700.0,2033.11,3666.89
2026-01-02,TRX000168,Tahu Crispy,Snack,3,12000,5500.0,0.0,36000.0,15056.01,20943.99
2026-01-02,TRX000169,Mie Goreng,Food,1,23000,12000.0,0.0,23000.0,12428.51,10571.49
2026-01-02,TRX000170,Nasi Goreng,Food,1,25000,13000.0,1250.0,23750.0,11811.42,11938.58
2026-01-02,TRX000171,Kopi Hitam,Beverage,1,10000,4000.0,0.0,10000.0,3926.07,6073.93
